"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_681","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Family_Enterobacteriaceae","Family_Enterobacteriaceae"
"ASV_682","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Anoxybacillus","geothermalis"
"ASV_683","Bacteria","Gemmatimonadetes","BD2-11_terrestrial_group","","Unclassified_ASV_683","Unclassified_ASV_683","Unclassified_ASV_683"
"ASV_684","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Fictibacillus","Genus_Fictibacillus"
"ASV_685","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Rubripirellula","Genus_Rubripirellula"
"ASV_686","Bacteria","Marinimicrobia_(SAR406_clade)","","","Unclassified_ASV_686","Unclassified_ASV_686","Unclassified_ASV_686"
"ASV_687","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Enterovibrio","Genus_Enterovibrio"
"ASV_688","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Family_Thiotrichaceae","Family_Thiotrichaceae"
"ASV_689","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Iamiaceae","Iamia","Genus_Iamia"
"ASV_690","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","AKYH767","Family_AKYH767","Family_AKYH767"
"ASV_691","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Algicola","Genus_Algicola"
"ASV_692","Bacteria","Planctomycetes","OM190","","Unclassified_ASV_692","Unclassified_ASV_692","Unclassified_ASV_692"
"ASV_693","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Brevibacteriaceae","Brevibacterium","Genus_Brevibacterium"
"ASV_694","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Family_Clostridiaceae_1","Family_Clostridiaceae_1"
"ASV_695","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema","Genus_Treponema"
"ASV_696","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum","Genus_Subdoligranulum"
"ASV_697","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Genus_Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV_698","Bacteria","Armatimonadetes","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae","Family_Fimbriimonadaceae","Family_Fimbriimonadaceae"
"ASV_699","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae","Alcanivorax","Genus_Alcanivorax"
"ASV_700","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Lentimicrobiaceae","Lentimicrobium","Genus_Lentimicrobium"
